Architecture,Trained_on,COR,Score,Model_ID,CLEAN,MIXED,MIXED_2,MIXED_3
CRNN,CLEAN,No,CER,167,0.050081229,0.454224535,0.460246497,0.458402042
CRNN,CLEAN,No,WER,167,0.138269795,0.640273705,0.645503421,0.638123167
CRNN,CLEAN,No,CER,168,0.049189539,0.464827098,0.469419913,0.466366179
CRNN,CLEAN,No,WER,168,0.134506354,0.633479961,0.638905181,0.633235582
CRNN,CLEAN,No,CER,169,0.052243273,0.446529127,0.451720473,0.449301917
CRNN,CLEAN,No,WER,169,0.14257087,0.624242424,0.629618768,0.625806452
CRNN,CLEAN,Yes,CER,167,0.049384978,0.058387384,0.057837712,0.058289665
CRNN,CLEAN,Yes,WER,167,0.136754643,0.152785924,0.15200391,0.152346041
CRNN,CLEAN,Yes,CER,168,0.04802912,0.056200911,0.057043742,0.056298631
CRNN,CLEAN,Yes,WER,168,0.132062561,0.14799609,0.148778104,0.147067449
CRNN,CLEAN,Yes,CER,169,0.051314938,0.059926466,0.059926466,0.060598287
CRNN,CLEAN,Yes,WER,169,0.141348974,0.156402737,0.156402737,0.157331378
CRNN,MIXED,No,CER,170,0.052426497,0.07870082,0.079897883,0.079250492
CRNN,MIXED,No,WER,170,0.141935484,0.189589443,0.193108504,0.193597263
CRNN,MIXED,No,CER,171,0.052499786,0.07870082,0.080606349,0.079287136
CRNN,MIXED,No,WER,171,0.14115347,0.189491691,0.193841642,0.192864125
CRNN,MIXED,No,CER,172,0.052634151,0.07773584,0.078590885,0.079091698
CRNN,MIXED,No,WER,172,0.141397849,0.188905181,0.189638319,0.194379277
CRNN,MIXED,Yes,CER,170,0.051180573,0.056897162,0.057031527,0.056994882
CRNN,MIXED,Yes,WER,170,0.13714565,0.148631476,0.149560117,0.149071359
CRNN,MIXED,Yes,CER,171,0.051595881,0.058008721,0.058069796,0.057874357
CRNN,MIXED,Yes,WER,171,0.139687195,0.1514174,0.151466276,0.150537634
CRNN,MIXED,Yes,CER,172,0.051571451,0.057923217,0.057764423,0.058106441
CRNN,MIXED,Yes,WER,172,0.13914956,0.151955034,0.150537634,0.151612903
S2S,CLEAN,No,CER,23,0.061115122,0.428840179,0.430570532,0.429790846
S2S,CLEAN,No,WER,23,0.159651953,0.604593208,0.61018523,0.604712554
S2S,CLEAN,Yes,CER,23,0.063161246,0.072348035,0.072753559,0.072708127
S2S,CLEAN,Yes,WER,23,0.163424885,0.179082605,0.181169688,0.179846627
S2S,CLEAN,No,CER,24,0.06151325,0.431955096,0.435893413,0.432743801
S2S,CLEAN,No,WER,24,0.157621981,0.599990219,0.611265953,0.602933268
S2S,CLEAN,Yes,CER,24,0.062894006,0.07281494,0.07332003,0.07250918
S2S,CLEAN,Yes,WER,24,0.160338171,0.177197869,0.180414386,0.176203274
S2S,CLEAN,No,CER,25,0.062242238,0.428779548,0.434486963,0.432475564
S2S,CLEAN,No,WER,25,0.160375513,0.603205629,0.615271875,0.607436399
S2S,CLEAN,Yes,CER,25,0.064020879,0.072973834,0.073828627,0.074044128
S2S,CLEAN,Yes,WER,25,0.165998827,0.180277425,0.181063123,0.18295066
S2S,MIXED,No,CER,26,0.065648033,0.090687416,0.089446928,0.090667516
S2S,MIXED,No,WER,26,0.166446758,0.209795679,0.209515901,0.208207132
S2S,MIXED,Yes,CER,26,0.066702607,0.075062787,0.075309141,0.075325598
S2S,MIXED,Yes,WER,26,0.169182666,0.181938068,0.18354585,0.182768389
S2S,MIXED,No,CER,27,0.062644218,0.088486076,0.087671969,0.088686247
S2S,MIXED,No,WER,27,0.160565033,0.20515076,0.204527675,0.20603482
S2S,MIXED,Yes,CER,27,0.064279256,0.07120172,0.071756602,0.071826512
S2S,MIXED,Yes,WER,27,0.164622526,0.176476335,0.176194664,0.175915975
S2S,MIXED,No,CER,28,0.061843698,0.086247115,0.086899702,0.086453993
S2S,MIXED,No,WER,28,0.159309772,0.200322392,0.203684699,0.20200342
S2S,MIXED,Yes,CER,28,0.063705099,0.070531401,0.071486248,0.072054885
S2S,MIXED,Yes,WER,28,0.161917795,0.173422543,0.17642749,0.175841352
CRNN,CLEAN,No,CER,96,0.0509118448214787,0.4784223191273651,0.4820501545189148,0.4814394078200007
CRNN,CLEAN,No,WER,96,0.1395894428152492,0.6461876832844575,0.6521994134897361,0.6489247311827957
CRNN,CLEAN,No,CER,173,0.0494460527440849,0.4328239705864389,0.437160272148729,0.4353158171180085
CRNN,CLEAN,No,WER,173,0.1367057673509286,0.617008797653959,0.6212609970674486,0.6163734115347018
CRNN,CLEAN,Yes,CER,96,0.05006901437697729,0.058900411643275065,0.05876604736951397,0.058338524680274104
CRNN,CLEAN,Yes,WER,96,0.13787878787878788,0.15566959921798632,0.15332355816226784,0.15195503421309872
CRNN,CLEAN,Yes,CER,173,0.048297848950126426,0.056469639781596984,0.05679944299901059,0.05764227344351204
CRNN,CLEAN,Yes,WER,173,0.13357771260997067,0.14975562072336265,0.15024437927663734,0.15073313782991202
